1986 APU Provincials|8-Mar-86|Edmonton, AB|3-lift|M|F. Walton|AB|59.8|60|&nbsp;|Open|&nbsp;|&nbsp;|&nbsp;|0|0.00|1986|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|John Clayton|ON|&nbsp;|110|&nbsp;|Open|&nbsp;|160.0|&nbsp;|&nbsp;|94.160|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|Jody Roemer|ON|&nbsp;|110|&nbsp;|Open|&nbsp;|182.5|&nbsp;|&nbsp;|107.401|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|Mike Knott|ON|&nbsp;|SHW|&nbsp;|Open|&nbsp;|177.5|&nbsp;|&nbsp;|99.560|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|Zbiginiew Zalek|ON|&nbsp;|100|&nbsp;|Open|&nbsp;|180.0|&nbsp;|&nbsp;|109.548|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|George Plikau|ON|&nbsp;|125|&nbsp;|Open|&nbsp;|165.0|&nbsp;|&nbsp;|94.017|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|Shawn Hislop|ON|&nbsp;|90|&nbsp;|Open|&nbsp;|180.0|&nbsp;|&nbsp;|114.912|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|Card Hoe|ON|&nbsp;|SHW|&nbsp;|Open|&nbsp;|227.5|&nbsp;|&nbsp;|127.605|2006|&nbsp;|
Ontario Intermediates|29-Apr-06|Waterloo, ON|Single|M|Les Fleiszig|ON|&nbsp;|82.5|&nbsp;|Open|&nbsp;|155.0|&nbsp;|&nbsp;|103.835|2006|&nbsp;|
Invictus Open|25-Mar-17|Courtice, ON|Single|M|Dan Marshall|ON|103.4|&nbsp;|105|Junior|&nbsp;|110.0|&nbsp;|&nbsp;|66.100|2017|yes|
Invictus Open|25-Mar-17|Courtice, ON|Single|M|Jacob MacKinnon|ON|73.8|&nbsp;|74|Junior|&nbsp;|112.5|&nbsp;|&nbsp;|81.078|2017|yes|
Invictus Open|25-Mar-17|Courtice, ON|Single|F|Debbie Peever|ON|61.6|&nbsp;|63|Master 1|&nbsp;|50.0|&nbsp;|&nbsp;|54.625|2017|yes|
Invictus Open|25-Mar-17|Courtice, ON|Single|M|Nathan Valsangkan|ON|89.4|&nbsp;|93|Open|&nbsp;|142.5|&nbsp;|&nbsp;|91.286|2017|yes|
Invictus Open|25-Mar-17|Courtice, ON|Single|M|Matthew Kehoe|ON|121.4|&nbsp;|120+|Junior|&nbsp;|167.5|&nbsp;|&nbsp;|96.045|2017|yes|
Invictus Open|25-Mar-17|Courtice, ON|Single|M|Daniel Ferreira|ON|57.0|&nbsp;|59|Sub-Junior|&nbsp;|75.0|&nbsp;|&nbsp;|67.118|2017|yes|
BC Championship|25-Jun-06|Vancouver, BC|Single|F|Shauna Fortune    |BC|89.9|90|&nbsp;|Master 1|&nbsp;|70.0|&nbsp;|&nbsp;|60.512|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Prabhraj Hunjan     |BC|136.5|SHW|&nbsp;|Sub-Junior|&nbsp;|65.0|&nbsp;|&nbsp;|36.466|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Rupinder Aujla      |BC|81.4|82.5|&nbsp;|Junior|&nbsp;|105.0|&nbsp;|&nbsp;|70.915|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Sumeet Randhawa      |BC|89.5|90|&nbsp;|Sub-Junior|&nbsp;|100.0|&nbsp;|&nbsp;|64.022|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Simardeep Virk     |BC|66.7|67.5|&nbsp;|Sub-Junior|&nbsp;|80.0|&nbsp;|&nbsp;|62.277|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Mark Vezina       |BC|87.2|90|&nbsp;|Master 1|&nbsp;|157.5|&nbsp;|&nbsp;|102.229|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Andrew Bryant      |BC|82.4|82.5|&nbsp;|Open|&nbsp;|155.0|&nbsp;|&nbsp;|103.948|2006|&nbsp;|
BC Championship|25-Jun-06|Vancouver, BC|Single|M|Damanjit Singh Kochar     |BC|47.8|52|&nbsp;|Sub-Junior|&nbsp;|37.5|&nbsp;|&nbsp;|40.326|2006|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Dan Suberlak   |SK|177.5|SHW|&nbsp;|Open|&nbsp;|255.0|&nbsp;|&nbsp;|137.500|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Blake Stavast   |AB|105.0|110|&nbsp;|Junior|&nbsp;|165.0|&nbsp;|&nbsp;|98.600|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Thomas Yeung           |AB|58.3|60|&nbsp;|Junior|&nbsp;|142.5|&nbsp;|&nbsp;|124.800|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Harvey Hanec      |MB|96.1|100|&nbsp;|Master 2|&nbsp;|150.0|&nbsp;|&nbsp;|92.800|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Ryan Fowler      |SK|127.5|SHW|&nbsp;|Junior|&nbsp;|200.0|&nbsp;|&nbsp;|113.500|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|John Drysdale        |MB|84.1|90|&nbsp;|Junior|&nbsp;|115.0|&nbsp;|&nbsp;|76.200|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Kurt Daunheimer    |SK|75.0|75|&nbsp;|Master 1|&nbsp;|127.5|&nbsp;|&nbsp;|90.900|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|M|Rob Miller       |AB|71.3|75|&nbsp;|Open|&nbsp;|162.5|&nbsp;|&nbsp;|120.100|2005|&nbsp;|
Western Canadians|22-Oct-05|Moose Jaw, SK |Single|F|Rhaea Fowler        |SK|68.8|75|&nbsp;|Sub-Junior|&nbsp;|97.5|&nbsp;|&nbsp;|98.200|2005|&nbsp;|
IPF World Master Bench Worlds|20-Apr-2012|Denver, Co|Single|M|John Giffen|AB|112.96|&nbsp;|120|Master 1|&nbsp;|277.5|&nbsp;|&nbsp;|162.04|2012|&nbsp;|
IPF World Master Bench Worlds|20-Apr-2012|Denver, Co|Single|M|Tillman Gallant|PE|91.08|&nbsp;|93|Master 3|&nbsp;|182.5|&nbsp;|&nbsp;|115.80|2012|&nbsp;|
IPF World Master Bench Worlds|20-Apr-2012|Denver, Co|Single|M|Bill You |BC|71.26|&nbsp;|74|Master 1|&nbsp;|160.0|&nbsp;|&nbsp;|118.29|2012|&nbsp;|
IPF World Master Bench Worlds|20-Apr-2012|Denver, Co|Single|M|Barry Antoniow|BC|82.52|&nbsp;|83|Master 1|&nbsp;|222.5|&nbsp;|&nbsp;|149.03|2012|&nbsp;|
IPF World Master Bench Worlds|20-Apr-2012|Denver, Co|Single|M|Robert Truchon|ON|90.96|&nbsp;|93|Master 1|&nbsp;|145.0|&nbsp;|&nbsp;|92.07|2012|&nbsp;|
Alberta Open|19-Jul-86|Alberta|3-lift|M|T. Draper|AB|82.3|82.5|&nbsp;|Open|&nbsp;|&nbsp;|&nbsp;|0|0.00|1986|&nbsp;|
Edmonton Novice|1986 ?|Edmonton, AB|3-lift|F|R. Kozakewich|AB|51.7|52|&nbsp;|Open|&nbsp;|&nbsp;|&nbsp;|0|0.00|1986|&nbsp;|
Evolugym Closed Contest|16-Dec-07|Quebec City, QU|Single|M|Hoang tran|QU|53.4|56|&nbsp;|Open|&nbsp;|142.5|&nbsp;|&nbsp;|136.045|2007|&nbsp;|
Evolugym Closed Contest|16-Dec-07|Quebec City, QU|Single|M|Stephane Ouellet|QU|99.3|100|&nbsp;|Open|&nbsp;|195.0|&nbsp;|&nbsp;|119.008|2007|&nbsp;|
BC Provincial Championship|13-Jun-10|Vancouver, BC|Single|M|Joravar Aujla |BC|64.5|67.5|&nbsp;|Sub-Junior|&nbsp;|62.5|&nbsp;|&nbsp;|50.060|2010|&nbsp;|
BC Provincial Championship|13-Jun-10|Vancouver, BC|Single|M|Simardeep Virk|BC|82.3|82.5|&nbsp;|Junior|&nbsp;|120.0|&nbsp;|&nbsp;|80.540|2010|&nbsp;|
BC Provincial Championship|13-Jun-10|Vancouver, BC|Single|M|Aminder Khangura|BC|55.0|56|&nbsp;|Sub-Junior|&nbsp;|40.0|&nbsp;|&nbsp;|37.070|2010|&nbsp;|
